heure_solaire_brut,mois,SAP_FLOW,heure_solaire
05:00,7,0.321741910590323,5
05:30,7,0.834217312167742,"5,5"
06:00,7,1.65734389150323,6
06:30,7,2.74486286319355,"6,5"
07:00,7,3.87625313123226,7
07:30,7,4.71856457351613,"7,5"
08:00,7,5.44460299581935,8
08:30,7,6.07257033652581,"8,5"
09:00,7,6.55727832013226,9
09:30,7,6.7771448311871,"9,5"
10:00,7,7.04014770920323,10
10:30,7,7.12766166082581,"10,5"
11:00,7,7.30358403248064,11
11:30,7,7.51987058144839,"11,5"
12:00,7,7.37426080071613,12
12:30,7,7.16175681815484,"12,5"
13:00,7,7.17639764628065,13
13:30,7,6.7343882607871,"13,5"
14:00,7,6.3875741905129,14
14:30,7,6.06381125556452,"14,5"
15:00,7,5.77355093170323,15
15:30,7,5.53172538832581,"15,5"
16:00,7,4.91448522308387,16
16:30,7,4.40977076012581,"16,5"
17:00,7,3.76696416065806,17
17:30,7,2.91652137280323,"17,5"
18:00,7,1.95813927555161,18
18:30,7,1.15338810195806,"18,5"
19:00,7,0.653403147667742,19
19:30,7,0.400648416548387,"19,5"
20:00,7,0.275015547593548,20
20:30,7,0.20399240613871,"20,5"
21:00,7,0.158976093254839,21
21:30,7,0.1282969259,"21,5"
22:00,7,0.108103579012903,22
22:30,7,0.0906107547612903,"22,5"
23:00,7,0.0789441833580645,23
23:30,7,0.0680138015516129,"23,5"
00:00,8,0.0911117522258064,0
00:30,8,0.0938148578580645,"0,5"
01:00,8,0.0950702820645161,1
01:30,8,0.0970308498483871,"1,5"
02:00,8,0.105394384877419,2
02:30,8,0.112408499093548,"2,5"
03:00,8,0.119745027709677,3
03:30,8,0.120756664054839,"3,5"
04:00,8,0.1213183733,4
04:30,8,0.138723036441935,"4,5"
05:00,8,0.219622508816129,5
05:30,8,0.382194818751613,"5,5"
06:00,8,0.657696195583871,6
06:30,8,1.23278236336452,"6,5"
07:00,8,1.86096701474194,7
07:30,8,2.58633567051613,"7,5"
08:00,8,3.40995686803871,8
08:30,8,4.18581406815161,"8,5"
09:00,8,4.69480985812581,9
09:30,8,5.24895346955161,"9,5"
10:00,8,5.61677377708387,10
10:30,8,5.92646354164516,"10,5"
11:00,8,6.28282371607742,11
11:30,8,6.16709512875484,"11,5"
12:00,8,6.01851785769355,12
12:30,8,5.88283944618065,"12,5"
13:00,8,5.60780871675484,13
13:30,8,5.38305027582581,"13,5"
14:00,8,5.2549566993129,14
14:30,8,5.06678951004839,"14,5"
15:00,8,4.72211378694839,15
15:30,8,4.14692593327419,"15,5"
16:00,8,3.58032906564194,16
16:30,8,2.90480895065161,"16,5"
17:00,8,2.11775271417419,17
17:30,8,1.40102833622903,"17,5"
18:00,8,0.854353276529032,18
18:30,8,0.517930773222581,"18,5"
19:00,8,0.345839629735484,19
19:30,8,0.255157905270968,"19,5"
20:00,8,0.199011082951613,20
20:30,8,0.16292184916129,"20,5"
21:00,8,0.138684056787097,21
21:30,8,0.124237492022581,"21,5"
22:00,8,0.117166282441935,22
22:30,8,0.109206402612903,"22,5"
23:00,8,0.108410448583871,23
23:30,8,0.0874901916064516,"23,5"
00:00,9,0.0580991717311111,0
00:30,9,0.0577997281744445,"0,5"
01:00,9,0.0600113033385185,1
01:30,9,0.0643714585303704,"1,5"
02:00,9,0.0668353872011111,2
02:30,9,0.0710818347581482,"2,5"
03:00,9,0.0783987164622222,3
03:30,9,0.0920328340244445,"3,5"
04:00,9,0.104004389864815,4
04:30,9,0.103207838724074,"4,5"
05:00,9,0.0905738116488889,5
05:30,9,0.0946035966848148,"5,5"
06:00,9,0.141048253927407,6
06:30,9,0.259876480138518,"6,5"
07:00,9,0.498194269807407,7
07:30,9,0.914024046304815,"7,5"
08:00,9,1.65239240123741,8
08:30,9,2.72716825881259,"8,5"
09:00,9,3.8021543211,9
09:30,9,4.58832406554482,"9,5"
10:00,9,5.05975600441778,10
10:30,9,5.27388755026518,"10,5"
11:00,9,5.42031732309222,11
11:30,9,5.64046775241259,"11,5"
12:00,9,5.67894245148667,12
12:30,9,5.42756687253778,"12,5"
13:00,9,5.03547967029481,13
13:30,9,4.7453622776537,"13,5"
14:00,9,4.59002439897111,14
14:30,9,4.15421116367333,"14,5"
15:00,9,3.62902449937741,15
15:30,9,3.02944180502296,"15,5"
16:00,9,2.25021134885963,16
16:30,9,1.54248476239074,"16,5"
17:00,9,1.03664506025926,17
17:30,9,0.64888820260963,"17,5"
18:00,9,0.412551590704444,18
18:30,9,0.278339551552593,"18,5"
19:00,9,0.191209069584815,19
19:30,9,0.145502434595926,"19,5"
20:00,9,0.120986402014815,20
20:30,9,0.108014637741111,"20,5"
21:00,9,0.0934396191370371,21
21:30,9,0.0833177654114815,"21,5"
22:00,9,0.0756662011392592,22
22:30,9,0.0673652168,"22,5"
23:00,9,0.0594817978525926,23
23:30,9,0.0603473106155556,"23,5"
00:00,10,0.088246241032258,0
00:30,10,0.0778134876594982,"0,5"
01:00,10,0.0707043618673835,1
01:30,10,0.0637998024962963,"1,5"
02:00,10,0.0593547193222222,2
02:30,10,0.0586108309390681,"2,5"
03:00,10,0.0585039488637993,3
03:30,10,0.0600148054695341,"3,5"
04:00,10,0.0635830337491039,4
04:30,10,0.0674624337706093,"4,5"
05:00,10,0.0711106391362007,5
05:30,10,0.0780626892007168,"5,5"
06:00,10,0.0871181456810036,6
06:30,10,0.11176616574552,"6,5"
07:00,10,0.203480954544803,7
07:30,10,0.386502954311828,"7,5"
08:00,10,0.623137784243727,8
08:30,10,0.914465466462366,"8,5"
09:00,10,1.16210068922222,9
09:30,10,1.46888907353763,"9,5"
10:00,10,1.77027298912903,10
10:30,10,2.02328782291398,"10,5"
11:00,10,2.17810930859498,11
11:30,10,2.33979849427957,"11,5"
12:00,10,2.4332127312724,12
12:30,10,2.47083054131541,"12,5"
13:00,10,2.51208045108244,13
13:30,10,2.47500603105735,"13,5"
14:00,10,2.31444441251971,14
14:30,10,1.99067122536559,"14,5"
15:00,10,1.69312067407168,15
15:30,10,1.28093483923297,"15,5"
16:00,10,0.896281825139785,16
16:30,10,0.621194666849462,"16,5"
17:00,10,0.431718615419355,17
17:30,10,0.320232837462365,"17,5"
18:00,10,0.254959973376344,18
18:30,10,0.217568758480287,"18,5"
19:00,10,0.18770961721147,19
19:30,10,0.160502082458782,"19,5"
20:00,10,0.144297023752688,20
20:30,10,0.141556797928315,"20,5"
21:00,10,0.133994837623656,21
21:30,10,0.122886221587814,"21,5"
22:00,10,0.107779284275986,22
22:30,10,0.0965083537168458,"22,5"
23:00,10,0.0864404575694446,23
23:30,10,0.084034832625,"23,5"
00:00,11,0.10761811030463,0
00:30,11,0.0942058349657408,"0,5"
01:00,11,0.0927470378351852,1
01:30,11,0.0938008501365079,"1,5"
02:00,11,0.0947288703478836,2
02:30,11,0.0922309958657407,"2,5"
03:00,11,0.0925270506072752,3
03:30,11,0.0941116942156084,"3,5"
04:00,11,0.0953634668507936,4
04:30,11,0.092565490162037,"4,5"
05:00,11,0.0924106520953704,5
05:30,11,0.0926058949666667,"5,5"
06:00,11,0.0955559363222222,6
06:30,11,0.0965528089870371,"6,5"
07:00,11,0.0966630558759259,7
07:30,11,0.0962681842574075,"7,5"
08:00,11,0.0985439236398148,8
08:30,11,0.0986659568648148,"8,5"
09:00,11,0.100531347412037,9
09:30,11,0.0876410692946428,"9,5"
10:00,11,0.0844398515228174,10
10:30,11,0.0784963867093254,"10,5"
11:00,11,0.0699929426825397,11
11:30,11,0.0600386493680556,"11,5"
12:00,11,0.0488985739652778,12
12:30,11,0.0474654929980159,"12,5"
13:00,11,0.0403613163373016,13
13:30,11,0.0362117348412698,"13,5"
14:00,11,0.0323137155704365,14
14:30,11,0.0328774640833333,"14,5"
15:00,11,0.0351258178065476,15
15:30,11,0.0373313209246032,"15,5"
16:00,11,0.0420677974017857,16
16:30,11,0.0470619939980159,"16,5"
17:00,11,0.0525014257797619,17
17:30,11,0.0591460456498016,"17,5"
18:00,11,0.0653641850664683,18
18:30,11,0.0732135890654762,"18,5"
19:00,11,0.0794924359573413,19
19:30,11,0.083966580469246,"19,5"
20:00,11,0.0892993918313492,20
20:30,11,0.0954935153134921,"20,5"
21:00,11,0.0994339949047619,21
21:30,11,0.102246707823413,"21,5"
22:00,11,0.105087931751984,22
22:30,11,0.108505111618055,"22,5"
23:00,11,0.110031426280754,23
23:30,11,0.111106853930556,"23,5"
