"","00:00","00:30","01:00","01:30","02:00","02:30","03:00","03:30","04:00","04:30","05:00","05:30","06:00","06:30","07:00","07:30","08:00","08:30","09:00","09:30","10:00","10:30","11:00","11:30","12:00","12:30","13:00","13:30","14:00","14:30","15:00","15:30","16:00","16:30","17:00","17:30","18:00","18:30","19:00","19:30","20:00","20:30","21:00","21:30","22:00","22:30","23:00","23:30"
"NETRAD_1h30",-35.7892964824121,-35.2288944723618,-33.5833165829146,-32.8378787878788,-31.8905555555556,-30.731608040201,-29.5113567839196,-27.5359798994975,-26.8379899497487,-24.5193467336683,-16.7270351758794,-1.54603015075377,21.0827777777778,53.5117676767677,91.694797979798,141.070909090909,181.489898989899,221.335303030303,257.32398989899,318.852487309645,352.230101010101,368.730202020202,392.121565656566,397.745656565657,412.690303030303,421.110353535354,383.000954773869,356.226884422111,328.746733668342,295.568894472362,264.368341708543,221.388442211055,181.26472361809,139.444070351759,100.136834170854,55.1095979899497,19.3122110552764,-6.68321608040201,-26.6882914572864,-39.0420100502513,-42.7767336683417,-43.4313065326633,-42.3329648241206,-40.9972361809045,-39.1920100502513,-38.2281407035176,-37.6588944723618,-36.8951256281407
"P_1h",0.0381909547738693,0.0452261306532663,0.071356783919598,0.0595959595959596,0.115151515151515,0.078391959798995,0.0974874371859297,0.0743718592964824,0.0673366834170854,0.107537688442211,0.0894472361809045,0.0683417085427136,0.0515151515151515,0.0383838383838384,0.0555555555555556,0.0595959595959596,0.0383838383838384,0.0545454545454545,0.0535353535353535,0.0233502538071066,0.0343434343434343,0.0212121212121212,0.0464646464646465,0.0232323232323232,0.0171717171717172,0.0313131313131313,0.0723618090452261,0.0562814070351759,0.0623115577889447,0.0834170854271357,0.0623115577889447,0.0492462311557789,0.0402010050251256,0.0693467336683417,0.0653266331658292,0.0874371859296482,0.0603015075376884,0.0683417085427136,0.139698492462312,0.0824120603015075,0.181909547738693,0.0984924623115578,0.0613065326633166,0.0964824120603015,0.119597989949749,0.0542713567839196,0.0864321608040201,0.0613065326633166
"PA_3h",97.7966331658291,97.796783919598,97.795527638191,97.7958585858586,97.7892929292929,97.7782412060301,97.7720100502513,97.7639698492462,97.7559798994975,97.7507537688442,97.7473366834171,97.7443718592965,97.7556060606061,97.760303030303,97.7665656565657,97.7747474747475,97.7842424242424,97.7936363636364,97.8031818181818,97.8132994923858,97.8266161616162,97.8315151515151,97.8339393939394,97.8340404040404,97.8320707070707,97.8281313131313,97.8112060301508,97.800351758794,97.7858291457286,97.7733165829146,97.7625628140703,97.7536683417085,97.7453768844221,97.7359798994975,97.7292462311558,97.7245728643216,97.7210050251256,97.7178894472362,97.7191457286432,97.7223115577889,97.7301005025126,97.7391959798995,97.7490452261306,97.7612060301508,97.7769849246231,97.7885427135678,97.7929145728643,97.7951256281407
"PPFD_DIF_1h",0,0,0,0,0,0,0,0,2.90155778894472,13.6711557788945,35.0185929648241,61.2907537688442,102.218121827411,141.147091836735,183.948484848485,221.622099447514,267.223282828283,303.560606060606,351.138585858586,378.767715736041,396.048737373737,434.865909090909,444.19595959596,444.036414141414,443.937676767677,432.979141414141,413.557989949749,394.904221105528,373.525175879397,336.532864321608,297.540201005025,279.082713567839,247.396130653266,204.470703517588,176.956381909548,105.940653266332,66.6122613065327,39.0620100502513,17.7597989949749,5.24839195979899,0.0219095477386935,0,0,0,0,0,0,0
"PPFD_IN_1h",0.018643216080402,0.0152261306532663,0.0178391959798995,0.0172727272727273,0.0205050505050505,0.0175376884422111,0.0285427135678392,0.451306532663317,4.63778894472362,18.5072864321608,46.9850251256281,89.5645728643216,166.22578680203,246.151071428571,337.385404040404,375.940773480663,515.876515151515,592.587070707071,718.533383838384,790.337614213198,831.296666666667,882.068686868687,896.347070707071,934.500858585859,959.66702020202,889.649292929293,834.398793969849,782.118190954774,718.642211055276,662.557386934673,578.49472361809,496.674221105528,415.839849246231,340.813316582915,249.787487437186,169.635979899497,105.273366834171,56.0093969849246,23.392864321608,6.7364824120603,0.807537688442211,0.0447236180904523,0.0196984924623116,0.021356783919598,0.0207537688442211,0.021608040201005,0.0184924623115578,0.017286432160804
"PPFD_OUT_1h",0.0497989949748744,0.0497989949748744,0.0505025125628141,0.0512121212121212,0.049949494949495,0.0481407035175879,0.0474371859296482,0.0638693467336683,0.215025125628141,0.76105527638191,1.92396984924623,3.6335175879397,5.98035353535354,8.66222222222222,12.0616666666667,14.8709523809524,18.9849494949495,22.204797979798,27.2826262626263,30.4170050761421,32.4871212121212,35.1474242424242,36.3236868686869,38.425,39.8814646464646,37.6405555555556,35.7189949748744,33.4932663316583,31.0023115577889,29.0446733668342,25.675527638191,22.2850251256281,18.9540201005025,15.5385929648241,11.4542713567839,8.27221105527638,5.58125628140704,3.15050251256281,1.30969849246231,0.341859296482412,0.0868844221105528,0.0520100502512563,0.0510552763819095,0.0465326633165829,0.0481407035175879,0.050251256281407,0.0498994974874372,0.0510050251256281
"RH",84.8001507537688,85.7342713567839,86.2169346733668,86.600101010101,86.9935353535353,87.2141708542714,87.5421105527638,87.371256281407,86.8656783919598,86.0826633165829,85.0313567839196,83.9776381909548,82.4245454545455,80.770202020202,78.6228282828283,76.2698484848485,73.7407070707071,71.2325252525252,69.2170707070707,67.1752284263959,65.2324242424242,63.6289898989899,61.9867171717172,61.0701515151515,60.4359090909091,60.2019191919192,60.5817085427136,60.5391457286432,60.8312060301508,61.5391457286432,62.058743718593,63.0908040201005,64.3177889447236,65.8156783919598,67.9723115577889,70.0544221105528,72.1383417085427,74.0366331658291,76.4066834170854,78.6097487437186,79.4277889447236,80.1509045226131,80.8706532663317,81.6169346733668,82.5820100502513,83.0837185929648,83.702864321608,84.083567839196
"SW_IN_1h",-1.19874371859296,-1.12371859296482,-1.15748743718593,-1.16318181818182,-1.05959595959596,-1.0708040201005,-0.983316582914573,-0.691608040201005,1.82804020100503,11.2897989949749,30.4314572864322,59.1571859296482,99.4414646464647,145.487878787879,204.681313131313,254.267777777778,302.215858585859,346.101515151515,419.929242424242,461.280253807107,483.801868686869,512.937727272727,520.407727272727,541.503686868687,554.600858585859,512.399292929293,478.49864321608,446.186683417085,407.876281407035,374.045226130653,324.827939698492,278.189045226131,230.909698492462,186.819547738693,134.302512562814,90.8159798994975,56.8954271356784,30.000351758794,11.4080904522613,1.90693467336683,-1.24477386934673,-1.54477386934673,-1.35336683417085,-1.2691959798995,-1.23286432160804,-1.29251256281407,-1.2643216080402,-1.18824120603015
"SW_OUT_30m",1.54814070351759,1.45979899497487,1.40849246231156,1.44191919191919,1.39838383838384,1.3943216080402,1.42452261306533,1.90522613065327,3.92502512562814,7.14773869346734,11.1485427135678,15.9792462311558,21.2130303030303,28.1715656565657,33.8076767676768,39.6469191919192,45.5152525252525,55.5082323232323,61.035404040404,65.1488324873096,70.4305555555556,72.315303030303,76.3931313131313,79.1893434343434,73.995505050505,70.3400505050505,66.3598994974874,61.5442211055276,57.7358793969849,51.4571859296482,46.1996984924623,40.784472361809,35.0127638190955,27.3588944723618,21.2654773869347,15.8685929648241,10.6047236180905,5.88221105527638,2.50190954773869,1.49185929648241,1.45316582914573,1.52693467336683,1.54236180904523,1.48798994974874,1.49768844221106,1.50829145728643,1.5248743718593,1.5648743718593
"TA",11.7145226130653,11.4908040201005,11.3378391959799,11.2039898989899,11.0858585858586,10.9734170854271,10.8701005025126,10.889648241206,11.0425125628141,11.3057575757576,11.6712626262626,12.1972588832487,12.8408629441624,13.3077664974619,13.8967171717172,14.3857070707071,14.9229292929293,15.4374747474747,15.844898989899,16.2903045685279,16.6173232323232,16.955101010101,17.2904545454545,17.4736868686869,17.6144444444444,17.7139393939394,17.7156783919598,17.743216080402,17.746783919598,17.668743718593,17.5672361809045,17.3861306532663,17.058040201005,16.6989447236181,16.2768844221106,15.8149246231156,15.2989447236181,14.8207537688442,14.2858793969849,13.7861306532663,13.4804522613065,13.2275376884422,12.9798492462312,12.7092964824121,12.4095979899497,12.2320100502513,12.0490452261307,11.9112060301508
"TS",13.012,12.979040201005,12.9451608040201,12.931202020202,12.8981767676768,12.8460452261307,12.8134673366834,12.7816582914573,12.7501708542714,12.7202914572864,12.6920452261307,12.6673216080402,12.6657727272727,12.652202020202,12.6478232323232,12.6528939393939,12.667,12.6858232323232,12.7244191919192,12.784461928934,12.816898989899,12.8661313131313,12.9172828282828,12.9685252525253,13.0200404040404,13.0693434343434,13.0958492462312,13.1401457286432,13.1817386934673,13.2208140703518,13.2542311557789,13.2831155778894,13.3051256281407,13.3209045226131,13.3285427135678,13.3295979899497,13.3256281407035,13.3156783919598,13.3004522613065,13.2798994974874,13.2551256281407,13.2291959798995,13.2015376884422,13.1731608040201,13.1431206030151,13.1118592964824,13.0787236180905,13.0457386934673
"TS_2",13.038040201005,13.0166834170854,12.9947738693467,12.9916161616162,12.9686363636364,12.9252261306533,12.9014572864322,12.8773869346734,12.8538693467337,12.8291457286432,12.8056432160804,12.7818542713568,12.7768484848485,12.7559949494949,12.7392878787879,12.7280606060606,12.7224494949495,12.7150606060606,12.7179242424242,12.7445837563452,12.7478333333333,12.7974416243655,12.7967727272727,12.8246363636364,12.8564393939394,12.8893737373737,12.9027185929648,12.9359798994975,12.9688944723618,13.0001507537688,13.0304020100503,13.0584924623116,13.0843718592965,13.1077889447236,13.1270854271357,13.1418592964824,13.1547738693467,13.1617587939698,13.1645728643216,13.1654773869347,13.1597989949749,13.1506030150754,13.1405025125628,13.1280904522613,13.1137688442211,13.0966331658291,13.0781909547739,13.058391959799
