beta0	-1.0434
P_1h	-0.0825
PPFD_IN_1h	0.0020
TS	0.0542
WD_1h30	-0.0004
WS	0.1380
CO2	0.2492
LE_30m	0.4383
SB	0.0314
SH_3h	0.0145
USTAR_30m	-0.6148
ZL_3h	-0.0251
VPD	0.1246
